hh_id,state,urbrur,no_of_persons,sampled
020001,2,1,2,True
020002,2,2,4,False
020003,2,1,2,False
020004,2,1,8,False
020005,2,1,7,False
020007,2,1,4,True
020008,2,1,9,False
020009,2,1,10,False
020010,2,1,9,False
020011,2,2,5,False
020012,2,2,5,False
020013,2,1,3,True
020014,2,2,6,False
040015,4,2,1,False
040016,4,1,6,True
040017,4,1,2,False
040019,4,2,6,False
040020,4,2,2,False
040021,4,2,9,False
040022,4,1,8,False
040023,4,1,8,False
040024,4,2,7,False
040025,4,1,2,False
040026,4,1,3,False
040027,4,2,2,False
040028,4,1,2,True
040030,4,2,7,False
040032,4,2,5,True
050033,5,2,1,True
050035,5,1,2,False
050036,5,2,7,False
050037,5,2,9,True
050038,5,1,6,False
050040,5,1,6,True
050041,5,2,5,False
050042,5,1,3,False
050043,5,2,3,False
060045,6,2,3,True
060046,6,2,3,True
060047,6,1,9,False
060048,6,2,6,False
060049,6,2,8,True
060050,6,1,5,False
060051,6,2,3,False
060053,6,1,4,False
060054,6,2,3,False
060055,6,2,9,False
060056,6,2,10,False
060057,6,2,9,False
090060,9,1,4,False
090061,9,2,3,False
090062,9,2,1,True
090063,9,2,9,True
090064,9,1,9,False
090065,9,1,5,False
090066,9,1,3,False
090067,9,2,3,False
090068,9,1,6,False
090069,9,2,1,False
090071,9,2,5,False
010072,1,1,4,False
010073,1,1,1,False
010074,1,2,2,False
010075,1,1,2,False
010076,1,2,8,False
010077,1,1,6,False
010078,1,2,5,False
010079,1,1,4,False
010081,1,2,7,True
030082,3,2,2,True
030083,3,1,4,False
030086,3,1,3,False
030087,3,1,3,False
030089,3,1,1,False
030091,3,1,6,False
030092,3,2,4,False
030093,3,1,9,False
030094,3,1,8,False
030095,3,2,4,False
030096,3,1,1,False
030097,3,2,5,False
030098,3,2,8,False
030099,3,2,1,False
030100,3,1,1,False
010101,1,2,2,True
010102,1,2,7,False
060103,6,1,7,True
020104,2,2,3,False
030105,3,2,2,True
060106,6,2,5,False
010107,1,2,5,False
040108,4,1,3,False
060109,6,2,6,False
020110,2,2,8,False
